기능명,FR-ID,MVP 포함,개발 상태,비고,사용자 스토리,예외 처리 / 엣지 케이스,우선순위,인수 조건 (Given/When/Then),입력 / 출력,정상 흐름 (Happy Path),카테고리
로그인 / 회원가입,1,Yes,완료,"소셜 로그인은 후순위. (단, 카카오/구글 추가 시 App Store 심사에 따라 'Apple로 로그인' 동시 구현 필수). 서버 auth/*, RefreshTokenRepository 구현","학생으로서, 이메일과 비밀번호로 가입·로그인해 내 오답 데이터를 안전하게 이어서 관리하고 싶다.","중복 이메일 거부, 비밀번호 불일치 401, access 만료 시 refresh 발급. 마켓 필수 요건인 '앱 내 계정 탈퇴(데이터 완전 삭제)' 기능 필수 구현.",P0 최상,"Given 미가입 이메일, When 올바른 형식으로 가입, Then 계정 생성 후 로그인 가능 / Given 만료된 access, When refresh 요청, Then 새 토큰 발급","입력: 이메일, 비밀번호 / 출력: JWT access token + refresh token, 사용자 프로필",로그인 화면 → 이메일·비밀번호 입력 → 서버 검증 → access/refresh 토큰 발급 → 홈 진입,인증/계정
형광펜 제스처 캡처,2,Yes,개발중,캡처 반짝임 애니메이션 미완. App Store 심사 대비 Info.plist/Manifest에 카메라·갤러리 접근 사유 명확히 기재 필수.,"학생으로서, 형광펜(단어)으로 원하는 부분만 드래그해 영어 단어를 추출하고 싶다.","오차 0px 요구, 크롭 50ms 미만, 10개 초과 제한, 빈 선택 방지. (Capacitor 환경 카메라/앨범 접근 시 권한 거부 예외 처리 필수)",P0 최상,"Given 사진이 주어졌을 때, When 반투명 형광펜으로 단어를 드래그하고 분석을 요청하면, Then 1장의 이미지로 병합되어 멀티모달 AI에 전송되고 해당 단어의 뜻이 JSON으로 반환되어야 함",입력: 반투명 형광펜이 칠해진 원본 이미지 전체 (Base64) / 출력: 형광펜 지정된 단어의 텍스트 및 속성 (JSON 반환),사진 촬영/업로드 ➔ Canvas 상에서 반투명 형광펜(rgba) 드래그 ➔ 캔버스를 합쳐서 1장의 이미지로 추출 ➔ GPT-4o mini API 전송 ➔ 뜻/예문 JSON 반환,캡처/분석
AI 분석 (단어 뜻·예문·연상 이미지),3,Yes,개발중,"비동기 202/SSE. 서버 AnalyzeController·AnalyzeJobService·AnalysisSseService, web AnalyzingView 구현","학생으로서, 찍은 단어의 이 지문에서의 뜻과 문제의 힌트·개념 태그를 AI가 자동으로 정리해주길 원한다.","AI 실패 시 폴백 체인, p95 10초 초과 대응, 다의어 오분석, 정답은 미노출 계약 유지",P0 최상,"Given 다의어 크롭, When 분석, Then 단어 뜻 반환",입력: 지문 전체 + 크롭 / 출력: 단어 뜻·예문(단어)·연상 이미지,분석 요청 → 202 + jobId 반환 → 분석 대기 화면(동기부여 문구·SSE 단계 이벤트) → 완료 시 카드 생성,캡처/분석
다중 태그 시스템 & 단어장 태그별 자동 분류 피드,4,Yes,개발중,"F-04 고도화 · tag, card_tag 다대다 매핑 · 프론트 카드 태그 칩/말줄임 UX 적용","학생으로서, 단어 카드에 개수 제한 없이 여러 태그를 붙이고, 단어장에서 태그별로 자동 분류된 단어들을 한눈에 모아보길 원한다.","태그명 중복 방지(유저별 유니크), 태그 삭제 시 연결된 카드의 매핑만 해제되고 단어는 안전하게 보존, 태그가 매우 많을 경우 카드 UI는 최대 2~3개 노출 후 +N 배지로 깔끔하게 표시",P0 최상,"Given 단어 카드에 '#수능특강', '#중요', '📅중간고사' 3개 태그 부착, When 단어장 피드 조회, Then 시험 태그가 우선 강조되고 일반 태그가 칩 형태로 노출된다. / When 상단 '#수능특강' 탭 클릭, Then 해당 태그를 가진 단어들만 피드에 노출된다.","입력: 단어별 태그 추가/삭제/수정(무제한), 상단 수평 스크롤 태그 필터 탭 클릭 / 출력: 태그별 필터링된 단어 피드, 단어 카드 내 태그 뱃지(시험 태그 강조 + 일반 태그 말줄임 +N 표시)",단어 카드 생성/수정 시 다중 태그 부착 → 단어장 상단 태그 바에 태그 자동 인덱싱 노출 → 특정 태그 탭 시 해당 단어만 즉시 필터링 → 카드 UI에 시험 태그(D-Day 강조) 및 일반 태그(+N 배지) 정돈되어 표시,단어장
플래시카드 퀴즈,5,Yes,검토중,"앞면 원문 크롭 미노출(v1.2). 스케줄링은 FR-ID14 rating으로 연결 제거. web flashcard, 서버 MnemonicService","학생으로서, 단어를 카드로 뒤집으며 몰라요·헷갈려요·알아요로 자기평가하며 외우고 싶다.","알아요 4회시 졸업 카드 처리, 연상 이미지 생성 실패 시 대체, 소요 시간 자동 기록, 크롭 원문은 미노출",P0 최상,"Given 복습 카드, When 몰라요 선택, Then 짧은 간격으로 재출제되도록 스케줄 갱신","입력: 복습 큐, 3단계 rating / 출력: 앞(단어+연상 이미지)·뒤(뜻·예문), 다음 복습 일정",학습 시작 → 앞면 → 뒤집기 → 뜻·예문 확인 → 알/헷/몰 선택 → 다음 카드,복습
예문 빈칸 채우기 퀴즈,6,Yes,검토중,"v1.6 판정 화면 개선, web cloze, 서버 ClozeController 구현. 빈칸 퀴즈의 알/헷/몰 평가도 플래시카드와 동일하게 study_log에 기록되어 단어장에 연동됨","학생으로서, 예문 빈칸을 채우며 단어를 인출 연습하고, 정답 후 오답 뜻 확인과 함께 알/헷/몰 버튼으로 자기평가를 남겨 취약 단어 데이터를 쌓고 싶다.","숙어 토큰 폴백 판정, 치팅 방지(뜻은 판정 응답에서만), 알/헷/몰 미선택 시 다음으로 넘어가지 않음(평가 강제), AI 예문 생성은 한도 차감",P0 최상,"Given 오답 제출 후 판정 화면에서, When 정답/오답 뜻을 확인하고 알/헷/몰 중 하나를 클릭하면, Then 평가가 서버에 기록되고 다음 문제로 넘어간다.","입력: 빈칸 입력 답안, 알/헷/몰 버튼 클릭 / 출력: 단계 힌트, 서버 판정 화면(정답 및 오답 뜻), XP 보상",빈칸 문항 → 입력/힌트 → 서버 판정 → 정답/오답 화면(선택지 뜻) → 알/헷/몰 버튼(자기평가) 클릭 → 평가 서버 누적 → 다음 문제,복습
단어 시험지 PDF + AI 오답 시험지,7,Yes,검토중,PoC 완료 → 다운로드 서비스화. Capacitor Filesystem/Share 플러그인으로 PDF 네이티브 기기 저장 및 OS 공유 시트 연동 필수.,"학생으로서, 영어 단어를 AI가 골라 편집한 시험지를 PDF로 내려받아 오프라인에서 풀고 싶다.","프리미엄 게이팅, 대상 단어 없음, 렌더 실패. Capacitor Webview 내에서 일반 링크(a 태그)나 window.open 다운로드 불가 문제 방어.",P1 상,"Given 영어 단어 보유, When PDF 내보내기, Then 그룹핑·코멘트가 포함된 PDF가 생성·다운로드",입력: 대상 단어 범위 / 출력: AI 선별·그룹핑·코멘트 → 렌더된 PDF 다운로드,PDF 내보내기 요청 → AI 편집(회당 약 2원) → 브라우저 엔진 렌더(0원) → 다운로드,복습
발음 오디오,8,Yes,완료,voice_locale 저장 폐기(v1.9). Web Speech API 대신 모바일 안정성을 위해 Capacitor 네이티브 TTS 플러그인 도입 강력 권장.,"학생으로서, 카드에서 미국식·영국식 발음을 각각 눌러 바로 듣고 싶다.","브라우저 TTS 미지원 대체, iOS 실기기 무음 스위치 상태 무시 방어, 백그라운드 재생 중단 방어, 설정 저장 없음(클라이언트 전용).",P1 상,"Given 단어 카드, When 영국식 버튼 클릭, Then 영국식 발음이 재생됨",입력: 발음 버튼(미국/영국) / 출력: Web Speech API 음성 재생,플래시카드 뒷면 → 미국식/영국식 버튼 클릭 → 즉시 재생,복습
학습 리포트,9,Yes,검토중,"API 완료 + v1.4 위젯. 방사형 제거·도넛 추가(v1.9). web report, 서버 ReportController·ReportService","학생으로서, 월간 외운 단어·정답률·약한 단어·학습 비중을 리포트로 보고 싶다.","측정 소스 없는 방사형 제거(도넛 대체), 데이터 부족 월 처리, 유료 게이팅",P0 최상,"Given 이번 달 학습 로그, When 리포트 조회, Then 학습 통계를 표시","입력: 기간, 학습 로그 / 출력: 새로 추가한 단어, 단어 정답률, 주간 학습 시간 분포, 나의 약한 단어 Top3",리포트 진입 → 월 스냅샷 집계 조회 → 무료 기본 수치 / 유료 오답 기반 복습 문제 생성,통계/게이미피케이션
사용자 선택 / 태그 기반 / 오답률 높은 단어 복습,10,Yes,개발중,F-19(FSRS 제거) + F-13(오답 우선 복습) 통합 · 사용자 주도형 3대 맞춤 복습 큐 생성,"학생으로서, 1) 특정 태그(예: #중간고사)에 속한 단어들, 2) 직접 다중 선택한 단어들, 또는 3) 자주 틀린(몰라요 빈도 > 알아요 빈도) 오답률 높은 단어들을 맞춤 선택하여 플래시카드 및 빈칸 퀴즈로 집중 복습하길 원한다.","조건에 해당하는 단어가 0개일 경우 복습 시작 버튼 비활성화, 빈칸 퀴즈 진행 시 예문이 등록되지 않은 단어는 플래시카드로 자동 대체, 복습 도중 이탈 후 재진입 시 세션 복원, 오답 동률 시 최근 학습일시 기준 정렬",P0 최상,"Given 단어장에서 '#수능완성' 태그 선택, When '태그 복습하기' 실행, Then 해당 태그가 달린 단어들로 복습 큐가 생성된다. / Given 단어 5개 직접 선택, When '선택 복습하기' 실행, Then 선택된 5개 단어만으로 퀴즈가 시작된다. / Given 오답 단어(몰라요 > 알아요), When '오답 복습하기' 실행, Then 몰라요 횟수가 많은 순서대로 복습 큐가 정렬되어 출제된다.","입력: 복습 진입 모드 선택 (① 태그 선택, ② 직접 단어 다중 체크 선택, ③ 오답률 높은 단어 모아보기), 퀴즈 유형 선택 (플래시카드 / 빈칸 퀴즈) / 출력: 조건에 맞게 필터링 및 정렬된 단어 복습 세션 큐 (오답 복습 시 몰라요 빈도 순 내림차순 정렬)",복습 탭/단어장에서 복습 기준(태그별 / 선택한 단어 / 오답률 높은 단어) 선택 → 퀴즈 유형(플래시카드 / 빈칸 퀴즈) 선택 후 복습 세션 시작 → 문제 풀이 및 자기평가(알/헷/몰) 진행 → study_log 기록 및 경험치(XP) 적립,복습
